SKU,Description,Style/Color,Vendor,Vendor Description,OnHand Qty,OnHand Curr Cost,OnHand Value,OnHand Weeks,MTD Qty,MTD Sales,MTD Markdowns,MTD MD Pct,MTD Profit,MTD GP Pct,MTD Turns,MTD ROI Pct,MTD Sell Thru,Age_FirstRec,Age_LastRec,Comment
D34792NV       ,PantCaReUsfPanDAZZ V,POLY/2P3B ,DAZZ,DAZZ,29,273.84,"7,941.36",0.9,14,"7,030.38","3,013.08",42.9,"3,196.62",45.5,4.7,389,32.6,75,4,
D9179BNV       ,VestForClSmKLAXO V  ,POLY/AZUL ,KLAX,KLAXONS,8,310.29,"2,482.32",0.4,9,"5,998.68","2,570.85",42.9,"3,187.56",53.1,8.7,983,52.9,146,19,
HJ3100LBL      ,VestCarCcaSmJC&JQ V ,ALGD/PREL ,JC&J,JC&JQ,13,347.31,"4,515.03",0.5,12,"7,354.33","3,028.31",41.2,"3,186.61",43.3,7.6,579,48,74,9,
IP8432NV       ,JeanCiTuPdeIRIS V   ,ALGD/1P2B ,IRIS,IRIS,5,233.77,"1,168.85",0.1,17,"7,131.41","3,142.54",44.1,"3,157.32",44.3,15.1,1201,77.3,74,35,
D9857TQ        ,VestForFjaMmKARAG V ,RAYO/TURQ ,KARA,KARA GIRL,60,381.9,"22,914.00",2.9,9,"6,546.51","2,805.66",42.9,"3,109.41",47.5,1.7,151,13,52,9,
D34814CF       ,PantCiReBroPanDAZZ V,POLY/2P2B ,DAZZ,DAZZ,9,347.31,"3,125.79",0.3,12,"7,267.80","3,114.84",42.9,"3,100.08",42.7,9.6,714,57.1,75,13,
D9635IV        ,VestForFjaSmKARAG V ,POLY/IVOR ,KARA,KARA GIRL,38,358.03,"13,605.14",1.6,10,"6,665.20","2,856.50",42.9,"3,084.90",46.3,2.8,240,20.8,52,7,
J7333RD        ,JackCvBrochMlKARAG V,RAYO/ROJO ,KARA,KARA GIRL,12,334.16,"4,009.92",0.5,11,"6,748.68","2,768.74",41,"3,067.91",45.5,7.5,629,47.8,793,8,temp ori R
T1571NVWH      ,BlusCvCasM34ACTIVE V,POLY/RAYA ,ACTI,ACTIVE USA,25,180.34,"4,508.50",0.5,22,"7,030.32","3,013.12",42.9,"3,062.84",43.6,6.9,536,46.8,75,7,
D9179WH        ,VestForClSmKLAXO V  ,POLY/ELAS ,KLAX,KLAXONS,7,286.42,"2,004.94",0.4,8,"5,332.16","2,285.20",42.9,"3,040.80",57,8.7,1158,53.3,279,39,
EX001BK        ,LeggiCiPegPdeSKNY V ,NYLO/DISE ,UNIO,UNION HOSIER,270,56.1,"15,147.00",2.5,46,"5,561.94","2,238.28",40.2,"2,990.29",53.8,1.9,219,14.6,278,3,
T1581WNWH      ,BlusCvCasM34ACTIV V ,RAYO/RAYA ,ACTI,ACTIVE USA,0,169.61,0,0,21,"6,542.53","2,496.50",38.2,"2,980.72",45.6,24,2008,100,52,25,
J1469IV        ,BlazCvBotM3/4ACTIV V,RAYO/VORY ,ACTI,ACTIVE USA,6,212.56,"1,275.36",0.2,15,"6,163.05","2,641.35",42.9,"2,974.65",48.3,13.3,1244,71.4,75,9,
TA2360TL       ,ChaqCvBotMlMINE V   ,POLY/TEAL ,MINE,MINE EDGE,7,255.02,"1,785.14",0.3,12,"6,014.31","2,281.29",37.9,"2,954.07",49.1,11.1,1069,63.2,794,42,
HP9080NV       ,PantCaTuPdeCHOCO V  ,RAYO/1PCB ,CHOC,CHOCOLATE,8,227.09,"1,816.72",0.2,16,"6,587.49","3,082.11",46.8,"2,954.05",44.8,12,976,66.7,75,18,
TA8704BG       ,BlusClCasMcMINE V   ,POLY/VINO ,MINE,MINE EDGE,68,130.91,"8,901.88",1.7,17,"5,165.15","2,152.16",41.7,"2,941.38",56.9,2.7,353,20,73,4,
D9839BKRD      ,VestForClM34KARAG V ,POLY/RAYA ,KARA,KARA GIRL,39,341.21,"13,307.19",1.9,9,"5,998.68","2,570.85",42.9,"2,927.79",48.8,2.5,237,18.8,64,15,
D9849OTTNV     ,VestForCvM34KARAG V ,POLY/AZUL ,KARA,KARA GIRL,47,341.21,"16,036.87",2.2,9,"5,998.68","2,570.85",42.9,"2,927.79",48.8,2.1,200,16.1,64,41,
TA8699OFWH     ,BlusClCasMlMINE V   ,POLY/BLAN ,MINE,MINE EDGE,4,228.87,915.48,0.1,14,"6,104.36","2,113.08",34.6,"2,900.18",47.5,15.3,1382,77.8,73,25,
84359BK        ,BlumUsfPolyBIJOU V  ,POLY/NEGR ,KORU,KORUS SALES,122,38.45,"4,690.90",0.9,56,"4,974.40","5,738.40",115.4,"2,821.20",56.7,4.5,587,31.5,50,3,
HJ9488MC       ,ChaqCvBotMlCHOCO V  ,POLY/MOCA ,CHOC,CHOCOLATE,16,173.66,"2,778.56",0.4,19,"6,117.30","2,556.58",41.8,"2,817.76",46.1,8.9,764,54.3,75,22,
