SKU,Description,Style/Color,Vendor,Vendor Description,OnHand Qty,OnHand Curr Cost,OnHand Value,OnHand Weeks,MTD Qty,MTD Sales,MTD Markdowns,MTD MD Pct,MTD Profit,MTD GP Pct,MTD Turns,MTD ROI Pct,MTD Sell Thru,Age_FirstRec,Age_LastRec,Comment
65641CL        ,BlusCvCasMlAMBIA U  ,ALGD/ENCA ,AMBI,AMBIANCE,0,87.31,0,0,1,181.39,77.74,42.9,94.08,51.9,24,2586,100,148,91,
NLC3558WHGD    ,CollaDiseMetaSUPER U,META/ELEF ,JOIA,JOIA TRADING,1,13.23,13.23,0.2,2,120,0,0,93.54,78,12,4242,66.7,144,135,
65581XLRY      ,BlusClCaUsfMmAMBIA U,RAYO/ROYA ,AMBI,AMBIANCE,2,104.51,209.02,0.9,1,197.83,84.78,42.9,93.32,47.2,4.8,429,33.3,148,25,
67816WH        ,BlusCoUsfMmAMBIA U  ,RAYO/BLAN ,AMBI,AMBIANCE,1,82.02,82.02,0.4,1,167.39,71.74,42.9,85.37,51,8,833,50,147,25,
12234RSV       ,BlusCcaBotMlBECOO U ,RAYO/ROSA ,BECO,BE COOL,13,264.57,"3,439.41",5.6,1,345.65,345.65,100,81.08,23.5,0.9,27,7.1,147,35,
70023WSAWH     ,CalcUsfPolyMAMIA U  ,POLY/BLAN ,UNIO,UNION HOSIER,12,16.54,198.48,5.1,1,94.78,0,0,78.24,82.5,1,454,7.7,142,139,
62997BE        ,BlusClCasMmAMBIA U  ,ALGD/BEIG ,AMBI,AMBIANCE,0,58.21,0,0,1,133.85,57.37,42.9,75.64,56.5,24,3119,100,148,39,
68034MZNV      ,BlusCtRayMlAMBIA U  ,ALGD/RAYA ,AMBI,AMBIANCE,-1,74.08,-74.08,-0.4,1,149.13,63.91,42.9,75.05,50.3,-24,-2431,0,148,120,
HNK3869SL      ,CollaLetrMetaFASHI U,META/SILV ,JOIA,JOIA TRADING,13,13.23,171.99,5.6,1,60,0,0,46.77,78,0.9,314,7.1,144,139,
QT1839BKWH     ,BlusClRayaMmZENAN U ,POLY/RAYA ,ZENA,ZENANA,0,125.67,0,0,1,167.39,167.39,100,41.72,24.9,24,797,100,143,42,
KNK0706SL      ,SetCollaMetaCRIST U ,META/SILV ,JOIA,JOIA TRADING,11,13.23,145.53,2.4,2,60.01,59.99,100,33.55,55.9,2,254,15.4,144,139,
MN4299SL       ,CollaDiseMetaMUSE U ,META/SILV ,JOIA,JOIA TRADING,31,13.23,410.13,6.6,2,60.01,59.99,100,33.55,55.9,0.8,95,6.1,144,139,
