SKU,Description,Style/Color,Vendor,Vendor Description,OnHand Qty,OnHand Curr Cost,OnHand Value,OnHand Weeks,MTD Qty,MTD Sales,MTD Markdowns,MTD MD Pct,MTD Profit,MTD GP Pct,MTD Turns,MTD ROI Pct,MTD Sell Thru,Age_FirstRec,Age_LastRec,Comment
2402,JeanCiTuPdeJCNJQ V  ,ALGD/PREL ,JCNJ,JCNJQ,14,293.88,"4,114.32",0.9,7,"3,730.41","1,291.32",34.6,"1,673.25",44.9,4.8,390,33.3,74,25,
J2019RYWH      ,BlazCxBotM34IJOAH V ,ALGD/PUNT ,IJOA,I JOAH,11,323.37,"3,557.07",0.9,5,"3,287.82","1,038.28",31.6,"1,670.97",50.8,4.4,459,31.3,64,25,
IP8183         ,JeanCaTuPdeIRIS U   ,ALGD/1P1B ,IRIS,IRIS,2,244.73,489.46,0.1,8,"3,627.84","1,554.80",42.9,"1,670.00",46,16,1365,80,147,25,
T1569BG        ,BlusCvBotM34ACTIVE V,POLY/VINO ,ACTI,ACTIVE USA,36,193.69,"6,972.84",1.9,8,"3,207.80",931.32,29,"1,658.28",51.7,2.4,257,18.2,75,8,
T1433BK        ,BlusCvCasM3/4ACTIV V,POLY/NEGR ,ACTI,ACTIVE USA,72,133.61,"9,619.92",2.6,12,"3,250.44","1,393.08",42.9,"1,647.12",50.7,1.8,190,14.3,75,3,
W161WHT        ,BlusClUsfM34DIVA V  ,POLY/BLAN ,DIVA,DIVA USA,4,187.02,748.08,0.2,11,"3,696.53","1,516.48",41,"1,639.31",44.3,13.9,1107,73.3,55,22,
LMF7012ASSTBE  ,BoxeLargSpanKALIY V ,SPAN/BEIG ,KORU,KORUS SALES,25,54.28,"1,357.00",0.5,21,"2,774.17","2,521.40",90.9,"1,635.09",58.9,7.1,1019,45.7,813,38,
T4581BK        ,BlusCvCasM3/4KLAXO V,POLY/NEGR ,KLAX,KLAXONS,13,232.72,"3,025.36",0.8,7,"3,259.55","1,396.99",42.9,"1,630.51",50,5.1,510,35,51,25,
SK1030NVCL     ,FaldRodPolyDECO V   ,POLY/FLOR ,DECS,DECO STYLE,1,496.63,496.63,0.1,3,"3,120.00",780,25,"1,630.11",52.2,14.4,1576,75,49,43,
J2019SBL       ,BlazCxBotM34IJOAH V ,ALGD/PUNT ,IJOA,I JOAH,8,323.37,"2,586.96",0.5,7,"3,893.47","2,163.07",55.6,"1,629.88",41.9,7.3,526,46.7,64,35,
BE4274TP       ,BlusClCasM3/4PAPER V,POLY/TAUP ,XPAM,PAPERMOON,5,210.32,"1,051.60",0.3,8,"3,309.14","1,177.82",35.6,"1,626.58",49.2,10.7,1031,61.5,51,40,
C5229BEWNBK    ,VestCacClSmCHOCO V  ,NYLO/FRAN ,CHOC,CHOCOLATE,13,267.17,"3,473.21",1.1,5,"2,957.38",933.92,31.6,"1,621.53",54.8,3.9,470,27.8,75,22,
0011BN         ,PantCaAcaPdeCIELO U ,ALGD/1P1B ,CIEL,CIELO,4,370.4,"1,481.60",0.1,14,"6,800.36","2,914.38",42.9,"1,619.98",23.8,15.3,478,77.8,2342,38,
J1542ASSTGYBK  ,CardCasRayMlACTIV V ,POLY/RAYA ,ACTI,ACTIVE USA,14,213.73,"2,992.22",0.7,9,"3,533.49","1,514.34",42.9,"1,609.92",45.6,5.8,489,39.1,75,9,
HS7072BK       ,FaldRodCiPdeCHOCO V ,POLY/NEGR ,CHOC,CHOCOLATE,8,173.66,"1,389.28",0.3,11,"3,515.16","1,506.56",42.9,"1,604.90",45.7,9.8,821,57.9,75,6,
BE4007MZ       ,BlusClCasMmPAPER V  ,POLY/MOST ,XPAM,PAPERMOON,1,210.32,210.32,0,9,"3,478.30","1,413.02",40.6,"1,585.42",45.6,19.6,1645,90,147,35,
JJ001NV        ,BlazCvBotMlCESTT V  ,POLY/AZUL ,CEST,C EST TOI,21,256.72,"5,391.12",1.1,8,"3,639.14","1,752.14",48.1,"1,585.38",43.6,3.8,296,27.6,74,15,
P9140BK        ,PantCiReFjPdeACTIV U,RAYO/NEGR ,ACTI,ACTIVE USA,7,205.04,"1,435.28",0.3,9,"3,423.96","1,467.36",42.9,"1,578.60",46.1,9.4,803,56.3,420,25,
BE2445LBL      ,VestCcaCorSmPAPER U ,JEAN/PREL ,XPAM,PAPERMOON,5,343.95,"1,719.75",0.4,6,"3,633.90","1,557.42",42.9,"1,570.20",43.2,9,685,54.5,147,24,
D9897BKWH      ,VestForFjM3/4KARAG V,POLY/FLOR ,KARA,KARA GIRL,8,346.09,"2,768.72",0.9,4,"2,951.73",856.95,29,"1,567.37",53.1,4.8,543,33.3,52,25,
BE4076BK       ,BlusClBotM34PAPER V ,POLY/NEGR ,XPAM,PAPERMOON,25,195.37,"4,884.25",1.1,10,"3,518.23","1,655.67",47.1,"1,564.53",44.5,4,320,28.6,64,13,
D56322CLBKBN   ,VestForClMlDRESS V  ,POLY/RAYA ,DRES,DRESS CODE,4,279.42,"1,117.68",0.3,5,"2,957.38",933.92,31.6,"1,560.28",52.8,9.2,1031,55.6,76,41,
7900BBK        ,PantyUsfNyloJOIA V  ,NYLO/NEGR ,JOIA,JOIA TRADING,335,54.28,"18,183.80",9.6,15,"2,369.25",748.2,31.6,"1,555.05",65.6,0.5,100,4.3,1341,4,
67914GYBK      ,AbriCvBotMlAMBIA V  ,POLY/ANIM ,AMBI,AMBIANCE,8,347.31,"2,778.48",0.7,5,"3,287.82","1,038.28",31.6,"1,551.27",47.2,5.7,510,38.5,73,50,
HJ3101NV       ,VestCarCcaMlJCNJQ V ,ALGD/AZUL ,JCNJ,JCNJQ,6,347.31,"2,083.86",0.5,5,"3,287.82","1,038.28",31.6,"1,551.27",47.2,7.1,631,45.5,74,37,
